Subject	Task	Condition	WPM	Accuracy	Errors	Time
1	1	Desktop	81.0	0.989362	1	13.22304
1	2	Desktop	62.0	0.979798	2	17.193138
1	3	Desktop	43.0	0.935185	7	20.450686
1	4	Desktop	55.0	0.991453	1	24.57585
1	5	Desktop	48.0	0.983607	2	28.009271
1	6	Desktop	41.0	0.966942	4	29.659356
1	7	Desktop	61.0	1.0	0	24.925882
1	8	Desktop	67.0	0.992537	1	23.042412
1	9	Desktop	53.0	0.963235	5	25.042521
1	10	Desktop	22.0	0.94958	6	48.701563
2	1	Desktop	36.0	0.968085	3	26.059374
2	2	Desktop	52.0	0.989899	1	21.593176
2	3	Desktop	31.0	0.953704	5	32.142967
2	4	Desktop	44.0	0.982906	2	29.115391
2	5	Desktop	1.0	0.803279	24	38.893298
2	6	Desktop	29.0	0.991736	1	48.775818
2	7	Desktop	25.0	0.936508	8	41.37521
2	8	Desktop	0.0	0.798507	27	46.567998
2	9	Desktop	28.0	0.963235	5	47.465925
2	10	Desktop	34.0	0.97479	3	36.226489
3	1	Desktop	42.0	1.0	0	26.542655
3	2	Desktop	40.0	0.979798	2	26.633819
3	3	Desktop	44.0	1.0	0	29.459503
3	4	Desktop	38.0	0.982906	2	33.974875
3	5	Desktop	54.0	0.991803	1	26.075925
3	6	Desktop	44.0	0.991736	1	31.631586
3	7	Desktop	37.0	1.0	0	40.616816
3	8	Desktop	46.0	0.992537	1	33.826124
3	9	Desktop	41.0	1.0	0	39.54144
3	10	Desktop	40.0	0.983193	2	32.709512
4	1	Desktop	31.0	0.989362	1	34.726146
4	2	Desktop	36.0	1.0	0	33.435184
4	3	Desktop	38.0	1.0	0	33.74278
4	4	Desktop	39.0	1.0	0	36.234524
4	5	Desktop	38.0	1.0	0	38.334606
4	6	Desktop	30.0	0.991736	1	45.701445
4	7	Desktop	40.0	1.0	0	38.034742
4	8	Desktop	29.0	0.940299	8	38.576334
4	9	Desktop	34.0	1.0	0	48.409943
4	10	Desktop	28.0	0.991597	1	48.951664
5	1	Desktop	29.0	0.989362	1	37.301236
5	2	Desktop	39.0	1.0	0	30.826083
